	competition	competition_rep	time	population	sample_rep	dilution	pop_size	density	Unnamed: 8
0	2A-1	2	0	gfp	1	0	1444280.0	1444280.0	
1	2A-1	2	0	gfp	1	-1			
2	2A-1	2	0	gfp	2	0	1502180.0	1502180.0	
3	2A-1	2	0	gfp	2	-1			
4	2A-1	2	0	gfp	3	0	1578140.0	1578140.0	
5	2A-1	2	0	gfp	3	-1	1686800.0	1686800.0	
6	2A-1	2	0	rfp	1	0	906420.0	906420.0	
7	2A-1	2	0	rfp	1	-1			
8	2A-1	2	0	rfp	2	0	915600.0	915600.0	
9	2A-1	2	0	rfp	2	-1			
10	2A-1	2	0	rfp	3	0	995500.0	995500.0	
11	2A-1	2	0	rfp	3	-1	1130000.0	1130000.0	
12	2A-1	2	0	gfp-rfp	1	0	11600.0	11600.0	
13	2A-1	2	0	gfp-rfp	1	-1			
14	2A-1	2	0	gfp-rfp	2	0	12140.0	12140.0	
15	2A-1	2	0	gfp-rfp	2	-1			
16	2A-1	2	0	gfp-rfp	3	0	14260.0	14260.0	
17	2A-1	2	0	gfp-rfp	3	-1	1200.0	1200.0	
18	2A-1	2	0	total	1	0	2373900.0	2373900.0	
19	2A-1	2	0	total	1	-1			
20	2A-1	2	0	total	2	0	2442060.0	2442060.0	
21	2A-1	2	0	total	2	-1			
22	2A-1	2	0	total	3	0	2602160.0	2602160.0	
23	2A-1	2	0	total	3	-1	2819200.0	2819200.0	
24	2A-2	2	0	gfp	1	0	702960.0	702960.0	
25	2A-2	2	0	gfp	1	-1			
26	2A-2	2	0	gfp	2	0	701720.0	701720.0	
27	2A-2	2	0	gfp	2	-1			
28	2A-2	2	0	gfp	3	0	779580.0	779580.0	
29	2A-2	2	0	gfp	3	-1	770000.0	770000.0	
30	2A-2	2	0	rfp	1	0	1420140.0	1420140.0	
31	2A-2	2	0	rfp	1	-1			
32	2A-2	2	0	rfp	2	0	1365740.0	1365740.0	
33	2A-2	2	0	rfp	2	-1			
34	2A-2	2	0	rfp	3	0	1538080.0	1538080.0	
35	2A-2	2	0	rfp	3	-1	1515200.0	1515200.0	
36	2A-2	2	0	gfp-rfp	1	0	8380.0	8380.0	
37	2A-2	2	0	gfp-rfp	1	-1			
38	2A-2	2	0	gfp-rfp	2	0	8620.0	8620.0	
39	2A-2	2	0	gfp-rfp	2	-1			
40	2A-2	2	0	gfp-rfp	3	0	11060.0	11060.0	
41	2A-2	2	0	gfp-rfp	3	-1	600.0	600.0	
42	2A-2	2	0	total	1	0	2139860.0	2139860.0	
43	2A-2	2	0	total	1	-1			
44	2A-2	2	0	total	2	0	2084700.0	2084700.0	
45	2A-2	2	0	total	2	-1			
46	2A-2	2	0	total	3	0	2339780.0	2339780.0	
47	2A-2	2	0	total	3	-1	2286400.0	2286400.0	
48	2A-3	2	0	gfp	1	0	169220.0	169220.0	
49	2A-3	2	0	gfp	1	-1			
50	2A-3	2	0	gfp	2	0	180660.0	180660.0	
51	2A-3	2	0	gfp	2	-1			
52	2A-3	2	0	gfp	3	0	194820.0	194820.0	
53	2A-3	2	0	gfp	3	-1	182200.0	182200.0	
54	2A-3	2	0	rfp	1	0	697200.0	697200.0	
55	2A-3	2	0	rfp	1	-1			
56	2A-3	2	0	rfp	2	0	755720.0	755720.0	
57	2A-3	2	0	rfp	2	-1			
58	2A-3	2	0	rfp	3	0	836260.0	836260.0	
59	2A-3	2	0	rfp	3	-1	833600.0	833600.0	
60	2A-3	2	0	gfp-rfp	1	0	1260.0	1260.0	
61	2A-3	2	0	gfp-rfp	1	-1			
62	2A-3	2	0	gfp-rfp	2	0	1140.0	1140.0	
63	2A-3	2	0	gfp-rfp	2	-1			
64	2A-3	2	0	gfp-rfp	3	0	1500.0	1500.0	
65	2A-3	2	0	gfp-rfp	3	-1	400.0	400.0	
66	2A-3	2	0	total	1	0	868940.0	868940.0	
67	2A-3	2	0	total	1	-1			
68	2A-3	2	0	total	2	0	938660.0	938660.0	
69	2A-3	2	0	total	2	-1			
70	2A-3	2	0	total	3	0	1034080.0	1034080.0	
71	2A-3	2	0	total	3	-1	1016600.0	1016600.0	
72	2B-1	2	0	gfp	1	0	1408140.0	1408140.0	
73	2B-1	2	0	gfp	1	-1			
74	2B-1	2	0	gfp	2	0	1477900.0	1477900.0	
75	2B-1	2	0	gfp	2	-1			
76	2B-1	2	0	gfp	3	0	1546680.0	1546680.0	
77	2B-1	2	0	gfp	3	-1	1758200.0	1758200.0	
78	2B-1	2	0	rfp	1	0	856460.0	856460.0	
79	2B-1	2	0	rfp	1	-1			
80	2B-1	2	0	rfp	2	0	862060.0	862060.0	
